# source: https://www.genenames.org/cgi-bin/genefamilies/set/1054
# https://www.genenames.org/cgi-bin/genefamilies/set/1054/download/branch
HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
16635	MRPS35	mitochondrial ribosomal protein S35	Approved		MRPS28, MDS023	12p11.22	AF182422	NM_021821	MRPL, MRPS	Mitochondrial ribosomal proteins	646
16631	MRPS36	mitochondrial ribosomal protein S36	Approved		DC47, MRP-S36	5q13.2		NM_033281	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14498	MRPS5	mitochondrial ribosomal protein S5	Approved		MRP-S5, S5mt	2q11.1	AB049940	NM_031902	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14051	MRPS6	mitochondrial ribosomal protein S6	Approved	C21orf101	MRP-S6, RPMS6	21q22.11	AB051347	NM_032476	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14499	MRPS7	mitochondrial ribosomal protein S7	Approved		MRP-S, RP-S7, RPMS7	17q25.1	AB051348	NM_015971	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14501	MRPS9	mitochondrial ribosomal protein S9	Approved		RPMS9, MRP-S9, S9mt	2q12.1		NM_182640	MRPL, MRPS	Mitochondrial ribosomal proteins	646
10383	RPS10	ribosomal protein S10	Approved		MGC88819, S10	6p21.31	U14972		RPS	S ribosomal proteins	728
10384	RPS11	ribosomal protein S11	Approved		S11	19q13.3	AB007152	NM_001015	RPS	S ribosomal proteins	728
10385	RPS12	ribosomal protein S12	Approved		S12	6q23.2	X53505	NM_001016	RPS	S ribosomal proteins	728
10386	RPS13	ribosomal protein S13	Approved		S13	11p15.1	X79239	NM_001017	RPS	S ribosomal proteins	728
10387	RPS14	ribosomal protein S14	Approved		EMTB, S14	5q33.1		NM_001025071	RPS	S ribosomal proteins	728
10388	RPS15	ribosomal protein S15	Approved		RIG, MGC111130, S15	19p13.3		NM_001018	RPS	S ribosomal proteins	728
10389	RPS15A	ribosomal protein S15a	Approved		S15A	16p12.3	AB007154	NM_001019	RPS	S ribosomal proteins	728
10396	RPS16	ribosomal protein S16	Approved		S16	19q13.1	M60854	NM_001020	RPS	S ribosomal proteins	728
10397	RPS17	ribosomal protein S17	Approved	RPS17L	RPS17L1, RPS17L2, MGC72007, S17	15q25.2	M18000	NM_001021	RPS	S ribosomal proteins	728
10401	RPS18	ribosomal protein S18	Approved	D6S218E	KE3, KE-3, HKE3, S18	6p21.32	X69150		RPS	S ribosomal proteins	728
10402	RPS19	ribosomal protein S19	Approved		DBA, S19, eS19	19q13.2	BC000023	NM_001022	RPS	S ribosomal proteins	728
10404	RPS2	ribosomal protein S2	Approved		LLREP3, S2	16p13.3	AB007147	NM_002952	RPS	S ribosomal proteins	728
10405	RPS20	ribosomal protein S20	Approved		S20, uS10	8q12.1	L06498	NM_001023	RPS	S ribosomal proteins	728
10409	RPS21	ribosomal protein S21	Approved		S21	20q13.33	L04483	NM_001024	RPS	S ribosomal proteins	728
10410	RPS23	ribosomal protein S23	Approved		S23, uS12	5q14.2	AB007158	NM_001025	RPS	S ribosomal proteins	728
10411	RPS24	ribosomal protein S24	Approved		S24, eS24	10q22.3	AB007159	NM_001026	RPS	S ribosomal proteins	728
